session_id,user_id,timestamp,page,device,browser,location,session_duration,event_type,referral_source,cart_abandoned,num_clicks,num_add_to_cart,num_checkout,predicted_abandoned,actual_vs_pred
s100,u149,2025-04-25 10:39:49,Home,Tablet,Chrome,USA,255,click,Paid,0,1.0,,,0,True
s1001,u86,2025-04-25 10:11:17,Home,Desktop,Firefox,India,130,click,Email,0,1.0,,,0,True
s1002,u459,2025-04-25 11:30:15,Cart,Desktop,Safari,Germany,107,add_to_cart,Social Media,1,,1.0,,1,True
s1003,u229,2025-04-25 10:52:59,Payment,Mobile,Safari,Germany,83,add_to_cart,Email,1,,1.0,,1,True
s1005,u405,2025-04-25 11:18:11,Cart,Desktop,Safari,UK,194,click,Paid,0,1.0,,,0,True
s1007,u442,2025-04-25 10:03:10,Cart,Mobile,Chrome,Germany,66,checkout,Email,0,,,1.0,0,True
s1008,u87,2025-04-25 10:15:02,Product,Desktop,Firefox,UK,79,checkout,Email,0,,,1.0,0,True
s1009,u13,2025-04-25 11:31:25,Payment,Tablet,Chrome,India,111,checkout,Organic,0,,,1.0,0,True
s101,u95,2025-04-25 10:20:14,Home,Tablet,Firefox,India,97,click,Email,0,2.0,,,0,True
s1010,u261,2025-04-25 11:42:43,Payment,Desktop,Firefox,India,141,add_to_cart,Social Media,1,,1.0,,1,True
s1011,u112,2025-04-25 10:46:40,Payment,Mobile,Firefox,UK,178,checkout,Organic,0,,,1.0,0,True
s1012,u314,2025-04-25 10:06:25,Payment,Mobile,Safari,Germany,186,checkout,Organic,0,,,1.0,0,True
s1014,u319,2025-04-25 11:28:13,Cart,Mobile,Safari,Germany,65,click,Email,0,2.0,,,0,True
s1015,u74,2025-04-25 10:09:51,Cart,Desktop,Firefox,UK,271,click,Organic,1,1.0,,,1,True
s1018,u450,2025-04-25 10:32:26,Cart,Mobile,Firefox,USA,194,add_to_cart,Paid,1,,1.0,,1,True
s1020,u468,2025-04-25 11:19:37,Product,Desktop,Firefox,UK,177,add_to_cart,Organic,0,,1.0,,0,True
s1021,u478,2025-04-25 11:37:50,Cart,Tablet,Safari,UK,166,add_to_cart,Social Media,1,,1.0,,1,True
s1022,u236,2025-04-25 11:17:44,Home,Tablet,Safari,USA,249,click,Email,1,1.0,,,1,True
s1024,u415,2025-04-25 11:29:57,Cart,Mobile,Chrome,Germany,168,checkout,Social Media,0,,,1.0,0,True
s1026,u259,2025-04-25 10:07:45,Payment,Desktop,Chrome,India,180,click,Paid,0,1.0,,,0,True
s1027,u279,2025-04-25 10:05:43,Home,Tablet,Chrome,UK,299,checkout,Paid,0,,,1.0,0,True
s1029,u147,2025-04-25 10:37:39,Payment,Tablet,Safari,USA,138,checkout,Organic,0,,,1.0,0,True
